GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frontend-java-maven,com.ganatan.servlets,Home,0,11,0,0,0,4,0,2,0,2
frontend-java-maven,com.ganatan.tools,GenerateStructure,64,0,10,0,16,0,8,0,3,0
